CID,z,RA,DEC,Delta_clean,Delta_hat_corr,Delta_post
2011fe,0.00122,210.774,54.2737,-5.3974716811314725,-10.315648749511132,4.918177068379659
2011fe,0.00122,210.774,54.2737,-5.3268960610755025,-10.754795395197494,5.427899334121991
2012cg,0.00256,186.803,9.4203,-3.6840614784836867,-4.620672709734154,0.9366112312504673
2012cg,0.00256,186.803,9.4203,-3.6671945457995796,-5.036741177323825,1.3695466315242455
1994DRichmond,0.00299,188.51,7.7016,-3.5940601996768904,-3.6772636926859033,0.08320349300901286
1981B,0.0035,188.623,2.1998,-3.610472974964692,-3.7361230910562107,0.12565011609151844
2013aa,0.00478,218.141,-44.2244,-4.040584515857165,-3.9590129312456,-0.08157158461156477
2013aa,0.00478,218.141,-44.2244,-3.969787655497315,-3.4813666883479453,-0.48842096714936956
2017cbv,0.00478,218.143,-44.1341,-4.111083507315981,-3.509640834016316,-0.6014426732996649
2017cbv,0.00478,218.143,-44.1341,-4.003203780475039,-3.856061129861846,-0.1471426506131932
2001el,0.00357,56.1275,-44.6398,-2.8976470509028895,-3.6440057037253433,0.7463586528224537
2011by,0.00369,178.94,55.3256,-2.6153562015680394,-3.072943499673919,0.4575872981058797
1998aq,0.00369,179.108,55.1287,-2.944008489181445,-3.189346317879371,0.24533782869792597
1990N,0.00462,190.736,13.2565,-2.778899276797038,-3.1835597050423536,0.40466042824531545
2021pit,0.00366,56.1257,-44.6325,-3.4051354802261606,-3.417463642664508,0.012328162438347334
2005df,0.00435,64.4077,-62.7693,-3.057287938566798,-2.960448236330702,-0.09683970223609606
2005df_ANU,0.00435,64.4077,-62.7693,-3.0820926961204633,-2.9877685734184456,-0.09432412270201773
2013dy,0.00293,334.573,40.5693,-2.9407241947886305,-2.222068598606066,-0.7186555961825642
2013dy,0.00293,334.573,40.5693,-2.8950834700202717,-2.6299321572445042,-0.2651513127757674
2012ht,0.00465,163.345,16.7764,-2.4668934641726876,-2.5387650355722755,0.07187157139958789
2012ht,0.00465,163.345,16.7764,-2.3889229664194125,-2.081688046166394,-0.30723492025301846
1980N,0.0046,50.7513,-37.2139,-3.1403772839843125,-2.195107457392063,-0.9452698265922495
2012fr,0.0046,53.4,-36.1271,-3.3701982815650147,-2.5777798987456984,-0.7924183828193163
2007on,0.0046,54.7125,-35.5753,-2.6772724337799754,-2.0268661172119096,-0.6504063165680658
2012fr,0.0046,53.4,-36.1271,-3.2874067431209912,-2.1186331750111465,-1.1687735681098448
1992A,0.0046,54.1142,-34.9587,-3.02681488101711,-2.2027591761182577,-0.8240557048988522
2007on,0.0046,54.7125,-35.5753,-2.569380605048132,-2.4640596335690947,-0.10532097147903707
2015F,0.00515,114.066,-69.5064,-2.9316268032409623,-2.755207781890066,-0.17641902135089627
2015F,0.00515,114.066,-69.5064,-2.881367348528755,-2.2904577691912684,-0.5909095793374868
2011B,0.00458,133.952,78.2174,-2.747204591359533,-1.9901011789125929,-0.75710341244694
2018aoz,0.00701,177.758,-28.7441,-2.7274690390960865,-1.7441621916348267,-0.9833068474612598
2016coj,0.00489,182.028,65.1772,-2.465233064857209,-1.4247739597941194,-1.0404591050630896
SN2016coj,0.00489,182.028,65.1772,-2.4757923283722674,-1.195769241606041,-1.2800230867662263
2007sr,0.0066,180.47,-18.9728,-2.79201048513563,-1.9780394184771013,-0.8139710666585289
2007sr,0.0066,180.47,-18.9728,-2.831604957261664,-1.6527446989486663,-1.178860258312998
2007gi,0.00505,180.348,61.8927,-2.6331241851946783,-1.5410683269899128,-1.0920558582047655
1994ae,0.0054,161.758,17.2752,-2.31497274434307,-1.9196057574199856,-0.39536698692308425
2015bp,0.00603,226.375,1.634,-1.9021321062942573,-1.8404290101485643,-0.061703096145693026
2018gv,0.00596,121.394,-11.4379,-2.561403141166108,-1.8156987082029248,-0.7457044329631832
2018gv,0.00596,121.394,-11.4379,-2.457867329350594,-1.5020762303276274,-0.9557910990229668
2018gv,0.00596,121.394,-11.4379,-2.5908137427408824,-1.247190949993725,-1.3436227927471573
1981D,0.00551,50.6599,-37.2327,-3.4428305641590384,-1.5869413144837683,-1.8558892496752701
2006dd,0.00551,50.6734,-37.2036,-3.249333983759602,-1.597767588011937,-1.6515663957476647
2007af,0.00635,215.588,-0.3938,-2.380215923981654,-1.6991025045804364,-0.6811134194012176
2007af,0.00635,215.588,-0.3938,-2.434106991597042,-1.812529541608839,-0.6215774499882032
2007af,0.00635,215.588,-0.3938,-2.353571779905344,-1.357898193618523,-0.9956735862868209
2007af,0.00635,215.588,-0.3938,-2.410229111212658,-1.363031341827731,-1.047197769384927
2007le,0.00552,354.702,-6.5226,-2.3296337284481186,-1.6502676699726535,-0.679366058475465
2007le,0.00552,354.702,-6.5226,-2.3228516841714786,-1.3161742548162267,-1.0066774293552518
2007le,0.00552,354.702,-6.5226,-2.3832532502229284,-1.3072819662971782,-1.0759712839257503
1998dm,0.00567,21.5582,-6.1039,-1.5858970424189671,-1.7724038220132263,0.1865067795942592
2014bv,0.00548,186.129,75.5357,-1.9173165436006305,-1.6318444389425053,-0.2854721046581252
2019np,0.0055,157.342,29.5106,-2.008512487274977,-1.551360622546007,-0.45715186472896985
2019np,0.0055,157.342,29.5106,-2.034715898985964,-1.0172388759663649,-1.0174770230195993
1997br,0.00801,200.177,-22.0367,-2.707631779857468,-2.031024364410587,-0.6766074154468811
2011iv,0.00594,54.714,-35.5922,-3.1614407964954143,-1.275270135610012,-1.8861706608854023
1995al,0.00592,147.733,33.5526,-2.152060248241106,-1.5517884846461034,-0.6002717635950026
1996X,0.00812,199.505,-26.8459,-2.4890805498704354,-1.7259653282716254,-0.76311522159881
2017erp,0.00727,227.312,-11.3342,-2.2897778663077917,-1.2650794565887056,-1.024698409719086
2017erp,0.00727,227.312,-11.3342,-2.311534051341343,-1.0229076480154136,-1.2886264033259296
2017erp,0.00727,227.312,-11.3342,-2.277193165924119,-1.5536174820763113,-0.7235756838478076
1992G,0.00611,159.077,37.3212,-2.0070469729057,-1.1374936773185202,-0.8695532955871796
2005cf,0.00703,230.384,-7.4132,-2.1703745242708683,-1.42455314520046,-0.7458213790704082
2005cf,0.00703,230.384,-7.4132,-2.1527228319597396,-1.5421049676687102,-0.6106178642910294
2005cf,0.00703,230.384,-7.4132,-2.163473713871372,-1.1201787096211657,-1.0432950042502063
2002fk,0.00668,50.5238,-15.4009,-2.067162326160183,-1.265712790868326,-0.8014495352918569
2002fk,0.00668,50.5238,-15.4009,-2.0516085932625265,-1.3771238057722888,-0.6744847874902378
2003du,0.00664,218.649,59.3344,-1.732047730761931,-1.1684499655425424,-0.5635977652193886
2003du,0.00664,218.649,59.3344,-1.7775233161353021,-1.0699421262897224,-0.7075811898455797
2003du,0.00664,218.649,59.3344,-1.7481267445349975,-1.048523638580541,-0.6996031059544565
2008Q,0.00722,21.2385,9.5504,-2.072772117170404,-1.1204427597299635,-0.9523293574404406
2008Q,0.00722,21.2385,9.5504,-2.1034373682065373,-1.2571049245395092,-0.8463324436670281
2003kf,0.00769,91.1476,-12.6286,-1.8784596356541299,-1.0667662302298209,-0.811693405424309
1998dh,0.00769,348.668,4.5373,-1.736932407669143,-1.0343455697158985,-0.7025868379532445
1998dh,0.00769,348.668,4.5373,-1.8178637006325755,-1.2882080196457124,-0.5296556809868631
2012hr,0.00788,95.4103,-59.7141,-1.7941118008330612,-1.4509403806187484,-0.3431714202143128
2009ig,0.00801,39.5484,-1.3125,-2.1705767570011645,-1.2357310469069227,-0.9348457100942418
2009ig,0.00801,39.5484,-1.3125,-1.8282437128633928,-0.7925901456288902,-1.0356535672345026
2009ig,0.00801,39.5484,-1.3125,-1.9061724349221298,-1.0602234782023021,-0.8459489567198277
1996Z,0.00867,144.187,-21.1476,-1.9791585601794761,-1.4827384847467635,-0.4964200754327126
1995D,0.0078,145.228,5.1406,-2.061240222793063,-1.200706459109576,-0.8605337636834869
1991M,0.00758,239.645,17.458,-1.2147083880509135,-0.8215155318493358,-0.39319285620157773
2013gh,0.00775,330.591,-18.9168,-1.8735879039973704,-0.8922612146000779,-0.9813266893972925
2013gh,0.00775,330.591,-18.9168,-1.7296350030152896,-1.2353457605607348,-0.49428924245455486
2001bg,0.00796,128.829,28.4683,-1.751432414673663,-0.9414954211906742,-0.8099369934829889
2005W,0.00861,27.6906,21.7599,-1.6022435692818338,-0.5912816855650751,-1.0109618837167587
ASASSN-15so,0.00773,168.546,48.3187,-1.7158223175584248,-0.46631684591521505,-1.24950547164321
PSNJ0717457,0.00812,109.44,23.3446,-1.752807508910541,-0.45223799700490824,-1.3005695119056329
2005am,0.00841,139.052,-16.3044,-2.0327698201358775,-1.1108592741205188,-0.9219105460153587
2005am,0.00841,139.052,-16.3044,-2.0167664329357877,-0.7918933555472969,-1.2248730773884908
2005am,0.00841,139.052,-16.3044,-2.067975783263046,-0.7892698404524798,-1.2787059428105663
1997bp,0.00931,191.724,-11.6425,-2.0560774475799755,-1.364974750312722,-0.6911026972672534
2019ein,0.00837,208.371,40.2754,-1.5873994919716086,-0.7320668937774817,-0.8553325981941269
2002er,0.00853,257.875,7.9958,-1.641658205322648,-0.8993811138872514,-0.7422770914353967
2002er,0.00853,257.875,7.9958,-1.6750970768275963,-0.7712186385743567,-0.9038784382532397
2006D,0.00966,193.141,-9.7752,-1.5681272979070455,-1.0295433996648717,-0.5385838982421738
2006D,0.00966,193.141,-9.7752,-1.5490617930406314,-0.7103365198175987,-0.8387252732230327
2006D,0.00966,193.141,-9.7752,-1.5338936331405388,-0.7072258302569037,-0.8266678028836352
2013cs,0.01029,198.812,-17.9654,-2.1596621674624115,-1.1197763892814967,-1.0398857781809148
1999cp,0.00998,211.63,-5.4469,-1.4970144162801242,-0.9167856074450358,-0.5802288088350884
1999cp,0.00998,211.63,-5.4469,-1.3553449283132861,-0.7749657227961506,-0.5803792055171355
2002cr,0.00998,211.657,-5.4394,-1.2812375170913755,-0.9337680430243497,-0.3474694740670258
2002cr,0.00998,211.657,-5.4394,-1.266946380566528,-0.831057883503638,-0.43588849706289
2002dj,0.01051,198.251,-19.519,-1.62057140247626,-0.9717099721162205,-0.6488614303600396
2002dj,0.01051,198.251,-19.519,-1.6536006607752902,-0.8506337580127408,-0.8029669027625495
1998es,0.00957,24.3233,5.8807,-1.763998619633746,-1.0261302412972495,-0.7378683783364965
1998es,0.00957,24.3233,5.8807,-1.6719807059221337,-0.7449205445051612,-0.9270601614169725
